0:0:0:0:0:0:0:1 - - [16/May/2022:11:48:16 +0700] "POST /CNPM/QuanLy/QL_ChuyenXe/insert.html HTTP/1.1" 400 640
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:42 +0700] "GET /CNPM/QuanLy/QL_TrangChu.html HTTP/1.1" 200 18536
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:42 +0700] "GET /assets/vendor/apexcharts/apexcharts.min.js HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:42 +0700] "GET /assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:42 +0700] "GET /assets/vendor/chart.js/chart.min.js HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:42 +0700] "GET /assets/vendor/echarts/echarts.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:42 +0700] "GET /assets/vendor/php-email-form/validate.js HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:42 +0700] "GET /assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 404 737
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:42 +0700] "GET /assets/vendor/quill/quill.min.js HTTP/1.1" 404 717
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:42 +0700] "GET /assets/vendor/tinymce/tinymce.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:44 +0700] "GET /CNPM/QuanLy/QL_ChuyenXe.html HTTP/1.1" 200 22926
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:48 +0700] "GET /CNPM/QuanLy/QL_ChuyenXe.html HTTP/1.1" 200 22926
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:48 +0700] "GET /CNPM/resources/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 164051
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:48 +0700] "GET /CNPM/resources/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 73348
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:48 +0700] "GET /CNPM/resources/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110554
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:48 +0700] "GET /CNPM/resources/assets/vendor/quill/quill.snow.css HTTP/1.1" 200 24778
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:48 +0700] "GET /CNPM/resources/assets/vendor/quill/quill.bubble.css HTTP/1.1" 200 25309
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:48 +0700] "GET /CNPM/resources/assets/css/style-v.css HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:48 +0700] "GET /CNPM/resources/assets/css/style.css HTTP/1.1" 200 21185
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:48 +0700] "GET /CNPM/resources/assets/vendor/simple-datatables/style.css HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:48 +0700] "GET /CNPM/resources/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 65833
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:49 +0700] "GET /CNPM/resources/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78214
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:49 +0700] "GET /CNPM/resources/assets/vendor/tinymce/tinymce.min.js HTTP/1.1" 200 392252
0:0:0:0:0:0:0:1 - - [16/May/2022:11:49:49 +0700] "GET /CNPM/resources/assets/vendor/simple-datatables/simple-datatables.js HTTP/1.1" 200 37917
